article_id,hypothesis_text,linked_theory,linkage_strength,inference_type,mechanism_specified,mechanism_description,linkage_explanation
Study001,Higher physiological load will be associated with traditional SSG with goalkeepers.,NA,none,none,FALSE,NA,"The hypothesis is empirically motivated by prior research findings, with no theoretical framework cited or implied."
Study001,Possession and overload drills will require a greater kinematic workload.,NA,none,none,FALSE,NA,"The hypothesis is derived from practical observations and gaps in prior empirical literature, not from a theoretical model."
Study001,Overloaded teams may also elicit a greater internal response.,NA,none,none,FALSE,NA,"This tentative prediction is based on prior empirical findings (Hill-Haas et al., 2010) and practical training considerations, not on theoretical reasoning."
Study002,Possession and team formation would affect positional match running demands.,NA,none,none,FALSE,NA,"The hypothesis is empirically motivated by prior research findings, with no theoretical framework cited or implied."
Study003,ECC-CON contractions would generate greater mean power with all loads than CON-Only contractions.,Stretch-Shortening Cycle (SSC) Neuromechanical Model,implicit,consistent,TRUE,"The text describes several mechanisms: 1) energy stored in elastic components during eccentric phase and released concentrically, 2) pre-activation during eccentric phase minimizing delay in achieving full activation, 3) stretch reflex response enhancing neural activation, and 4) residual force enhancement at sarcomere level persisting into concentric action.",The hypothesis is consistent with the SSC model's general principle that a prior eccentric phase enhances subsequent concentric performance through various neuromechanical mechanisms.
Study004,Individuals with CAI would display altered lower limb joint kinetic patterns and more proximal joint stiffness than healthy individuals serving as controls.,Intralimb Redistribution Of Impact-Force Attenuation,implicit,consistent,TRUE,"The chronically unstable ankle is unable to effectively attenuate impulse loads, resulting in an intralimb redistribution of impact-force attenuation in which greater reliance is placed on the proximal joints to protect the injured ankle during dynamic movements.",The hypothesis that CAI leads to altered kinetics and greater proximal stiffness is consistent with the theory that impact forces are redistributed proximally due to the ankle's functional deficit.
Study005,Positional differences will exist for technical and running performance.,NA,none,none,FALSE,NA,The hypothesis is not linked to any theoretical framework; it is motivated by prior empirical observations of positional differences in running performance.
Study005,There will be a distinct difference between competition grades for technical and running performance.,NA,none,none,FALSE,NA,The hypothesis is not linked to any theoretical framework; it is motivated by the practical need to understand performance differences across competition levels.
Study006,"Both running and cycling HIIT programs would be effective in decreasing fat mass deposits, including total and (intra)-abdominal fat mass.",Energy Balance / Metabolic Theory Of Fat Loss,implicit,consistent,TRUE,Regular exercise decreases fat mass and increases cardiorespiratory capacity while preserving lean mass; HIIT is considered a time-efficient strategy to decrease fat mass deposits.,The hypothesis is consistent with the metabolic theory that creating an energy deficit through exercise (HIIT) will lead to fat loss.
Study006,The running HIIT program would induce larger effects on fat mass loss than the cycling HIIT program.,Energy Balance / Metabolic Theory Of Fat Loss,implicit,abductive,TRUE,"Running involves a larger muscle mass, different muscle contraction regimens (eccentric vs. concentric), greater mechanical efficiency, and leads to a larger excess post-exercise oxygen consumption (EPOC) and different substrate utilization compared to cycling, which could explain differences in fat oxidation and fat mass loss.","The hypothesis is abductively inferred from prior empirical observations (meta-analysis, acute exercise studies) comparing modalities, with the metabolic theory providing a post-hoc mechanistic framework for the expected difference."
Study006,Gut microbiota composition alterations would be similar between the running and cycling HIIT programs.,Gut Microbiota-Dysbiosis Theory Of Obesity,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the theory that exercise can alter gut microbiota, but it predicts no differential effect between modalities, implying the exercise stimulus (HIIT) itself, not its modality, is the primary driver."
Study007,Stronger players will have a higher performance on handball-specific fitness elements compared with their weaker counterparts.,NA,none,none,FALSE,NA,"The hypothesis is empirically motivated by observations of performance differences between elite/non-elite players and stronger/weaker athletes in general, not by a formal theoretical framework."
Study007,Strength and rate of force development (RFD) will be significantly correlated with handball-specific fitness elements.,NA,none,none,FALSE,NA,"The hypothesis is based on empirical correlations reported in other contexts (e.g., strength with throwing velocity) and the presumed importance of RFD for power sports, not on deduction from a theoretical system."
Study008,Both RSH-VHL and RS-VHH training conditions would improve performance as compared to the same training performed with unrestricted breathing.,NA,none,none,FALSE,NA,"This prediction is based on prior empirical findings from studies on similar training methods, not on a theoretical framework."
Study008,RSH-VHL would be superior to RS-VHH in improving performance.,NA,none,none,FALSE,NA,"This comparative prediction is motivated by the proposed physiological difference (hypoxia vs. potential hypercapnia) between the methods, but no formal theory is invoked to generate the specific prediction of superiority."
Study010,The greatest performance would be during the first 15-minute period of the match regardless of the playing position.,NA,none,none,FALSE,NA,"The hypothesis is empirically motivated by prior observations of performance decrements later in matches, not derived from any stated theoretical framework."
Study010,The lowest physical performance would be found toward the end of the match (60-75 minutes and 75-90 minutes).,NA,none,none,TRUE,"The level of glycogen in players' muscle fibers decreases during the match causing a reduction of the number of sprints, accelerations, and decelerations.","While a physiological mechanism (glycogen depletion) is cited in the background, it is used as a general empirical rationale rather than as a deduction from a named theoretical model of fatigue or energy systems."
Study011,The degree of exercise-induced inhibitory control improvements would be greater following low-volume high-intensity interval exercise (LV-HIIE) than following moderate-intensity continuous exercise (MCE).,Cerebral Lactate Metabolism Hypothesis,explicit,consistent,TRUE,"Increased levels of circulating lactate induced by aerobic exercise are related to the degree of post-exercise IC improvements, potentially due to an increase in cerebral lactate metabolism.","The hypothesis is explicitly linked to the Cerebral Lactate Metabolism Hypothesis, which provides a proposed mechanism for why LV-HIIE (which produces greater lactate) should improve IC more than MCE."
Study012,Delaying the gradual introduction of full loading by 6 weeks in the initial 26 weeks would reduce the heel-rise height difference between the injured and uninjured leg 1 year after surgery.,Muscle Architecture-Force/Excursion Relationship,implicit,consistent,TRUE,"The deficit in heel-rise height appears to be related to tendon length, and it has been suggested that muscle fascicle length may also be a determinant of heel-rise height. While the maximal force-generating capacity of a muscle is determined by its physiological cross-sectional area (CSA), the excursion of the muscle is proportional to its fiber length, which would affect joint range of motion.","The hypothesis that delayed loading reduces heel-rise height deficit is consistent with the theory's principle that muscle excursion (and thus joint range of motion) is proportional to fiber length, which may be compromised by tendon elongation."
Study013,"Concurrent training would induce greater EPOC in comparison with resistance or aerobic training performed in isolation, even in protocols matched for the overall EE.",NA,none,none,FALSE,NA,The hypothesis is not linked to any theoretical framework; it is motivated by a gap in the empirical literature and practical observations.
Study014,Both youth and adult groups would show cross-education effects following an 8-week unilateral dominant-arm chest press training program.,Neural Adaptation Theory Of Cross-Education,implicit,consistent,FALSE,NA,"The hypothesis is consistent with the theory's general claim that unilateral training induces contralateral adaptations via neural mechanisms, but not strictly entailed by it."
Study014,Youth could show more pronounced cross-education effects than adults following the training program.,Neural Adaptation Theory Of Cross-Education,implicit,abductive,TRUE,"Because children are less experienced with various activities, neuromuscular learning (i.e., motor control) could provide a higher contribution to the contralateral strength gains than with adults.","The hypothesis is framed by the theory's neural adaptation mechanism, but the specific age-difference prediction is inferred from an observed practical factor (children's inexperience) and prior suggestive evidence, not deductively from the theory."
Study015,Use of nutrient balance allows for greater weight loss than use of caloric balance when combined with exercise in a weight loss regimen.,Nutrient Balance Theory (Nutrient-Partitioning Theory),implicit,consistent,FALSE,NA,"The hypothesis is consistent with the core idea of Nutrient Balance Theory, which posits that the type of nutrients consumed influences metabolic partitioning and body composition outcomes, not just total energy."
Study015,"Use of nutrient balance allows for a greater beneficial change in body composition (i.e., maintaining fat-free mass) versus the use of caloric balance when combined with exercise in a weight loss regimen.",Nutrient Balance Theory (Nutrient-Partitioning Theory),implicit,consistent,FALSE,NA,The prediction about preserving fat-free mass aligns with the nutrient-partitioning concept that adequate protein and nutrient quality can spare muscle mass during energy deficit.
