article_id,meth_cv_alignment,meth_mechanism_operationalised,meth_population_fit,meth_error
Study001,unclear,NA,NA,FALSE
Study002,unclear,NA,NA,FALSE
Study003,unclear,not_applicable,unclear,FALSE
Study004,unclear,NA,NA,FALSE
Study005,unclear,NA,NA,FALSE
Study006,unclear,NA,NA,FALSE
Study007,unclear,NA,NA,FALSE
Study008,unclear,NA,NA,FALSE
Study010,unclear,NA,NA,FALSE
Study011,unclear,NA,NA,FALSE
Study012,unclear,NA,NA,FALSE
Study013,unclear,NA,NA,FALSE
Study014,aligned,endpoints_only,within,FALSE
Study015,unclear,NA,NA,FALSE
Study016,unclear,NA,NA,FALSE
Study018,unclear,NA,NA,FALSE
Study019,unclear,NA,NA,FALSE
Study020,unclear,NA,unclear,FALSE
Study021,unclear,NA,NA,FALSE
Study022,unclear,NA,NA,FALSE
Study023,unclear,NA,NA,FALSE
Study024,unclear,NA,NA,FALSE
Study025,unclear,NA,NA,FALSE
Study026,unclear,NA,unclear,FALSE
Study027,unclear,NA,NA,FALSE
Study028,unclear,NA,NA,FALSE
Study029,unclear,NA,NA,FALSE
Study030,unclear,not_applicable,within,FALSE
Study031,aligned,endpoints_only,within,FALSE
Study032,unclear,NA,NA,FALSE
Study033,unclear,NA,NA,FALSE
Study034,unclear,NA,NA,FALSE
Study035,unclear,NA,NA,FALSE
Study036,unclear,NA,NA,FALSE
Study037,unclear,not_applicable,within,FALSE
Study038,unclear,not_applicable,within,FALSE
Study039,unclear,not_applicable,within,FALSE
Study040,unclear,NA,NA,FALSE
Study041,unclear,NA,NA,FALSE
Study042,unclear,NA,NA,FALSE
Study043,unclear,NA,NA,FALSE
Study044,unclear,NA,NA,FALSE
Study045,unclear,NA,NA,FALSE
Study046,unclear,NA,NA,FALSE
Study047,unclear,NA,NA,FALSE
Study048,NA,NA,NA,TRUE
Study049,aligned,not_applicable,within,FALSE
Study050,unclear,NA,NA,FALSE
Study051,unclear,NA,NA,FALSE
Study052,unclear,NA,NA,FALSE
Study053,unclear,NA,NA,FALSE
Study054,unclear,NA,NA,FALSE
Study055,unclear,NA,NA,FALSE
Study056,not_applicable,NA,NA,FALSE
Study057,unclear,NA,NA,FALSE
Study058,unclear,not_applicable,unclear,FALSE
Study059,unclear,not_applicable,unclear,FALSE
Study060,unclear,NA,NA,FALSE
Study061,unclear,NA,NA,FALSE
Study063,partial,endpoints_only,within,FALSE
Study065,unclear,NA,NA,FALSE
Study066,unclear,NA,NA,FALSE
Study067,unclear,endpoints_only,within,FALSE
Study068,unclear,NA,NA,FALSE
Study069,unclear,NA,NA,FALSE
Study070,unclear,not_applicable,within,FALSE
Study071,not_applicable,NA,NA,FALSE
Study072,unclear,NA,NA,FALSE
Study073,unclear,NA,NA,FALSE
Study074,unclear,NA,NA,FALSE
Study075,unclear,NA,NA,FALSE
Study076,unclear,NA,NA,FALSE
Study077,unclear,NA,NA,FALSE
Study079,unclear,NA,NA,FALSE
Study080,aligned,endpoints_only,within,FALSE
Study081,unclear,NA,NA,FALSE
Study082,unclear,NA,NA,FALSE
Study083,unclear,not_applicable,unclear,FALSE
Study084,unclear,NA,NA,FALSE
Study085,not_applicable,NA,NA,FALSE
Study086,unclear,NA,NA,FALSE
Study087,unclear,NA,NA,FALSE
Study088,unclear,not_applicable,within,FALSE
Study089,unclear,NA,NA,FALSE
Study091,partial,endpoints_only,within,FALSE
Study092,unclear,NA,NA,FALSE
Study093,unclear,NA,unclear,FALSE
Study094,aligned,mechanism_measured,within,FALSE
Study095,unclear,NA,unclear,FALSE
Study096,unclear,NA,NA,FALSE
Study097,unclear,NA,NA,FALSE
Study098,not_applicable,NA,NA,FALSE
Study099,partial,endpoints_only,within,FALSE
Study100,not_applicable,NA,NA,FALSE
Study101,unclear,NA,NA,FALSE
Study102,unclear,not_applicable,unclear,FALSE
Study103,unclear,NA,NA,FALSE
Study104,unclear,NA,NA,FALSE
Study105,not_applicable,NA,NA,FALSE
Study106,not_applicable,NA,NA,FALSE
Study107,unclear,NA,NA,FALSE
Study108,aligned,endpoints_only,within,FALSE
Study109,unclear,not_applicable,within,FALSE
Study110,unclear,NA,NA,FALSE
Study111,unclear,NA,NA,FALSE
Study112,unclear,NA,NA,FALSE
Study113,unclear,NA,NA,FALSE
Study114,unclear,NA,NA,FALSE
Study115,unclear,NA,NA,FALSE
Study116,partial,endpoints_only,within,FALSE
Study117,unclear,NA,NA,FALSE
Study118,unclear,NA,NA,FALSE
Study119,unclear,NA,NA,FALSE
Study120,unclear,NA,NA,FALSE
Study121,unclear,NA,NA,FALSE
Study122,not_applicable,NA,NA,FALSE
Study123,unclear,NA,NA,FALSE
Study124,misaligned,endpoints_only,within,FALSE
Study125,unclear,NA,NA,FALSE
Study126,unclear,NA,NA,FALSE
Study127,unclear,not_applicable,within,FALSE
Study128,unclear,NA,NA,FALSE
Study129,not_applicable,NA,NA,FALSE
Study131,unclear,NA,within,FALSE
Study132,not_applicable,NA,NA,FALSE
Study133,misaligned,endpoints_only,within,FALSE
Study134,unclear,NA,NA,FALSE
Study135,unclear,NA,NA,FALSE
Study136,unclear,NA,unclear,FALSE
Study137,aligned,endpoints_only,within,FALSE
Study138,unclear,NA,NA,FALSE
Study139,unclear,NA,NA,FALSE
Study140,NA,NA,NA,TRUE
Study141,not_applicable,NA,NA,FALSE
Study142,partial,endpoints_only,within,FALSE
Study143,unclear,NA,NA,FALSE
Study144,not_applicable,NA,NA,FALSE
Study145,aligned,endpoints_only,within,FALSE
Study146,unclear,NA,NA,FALSE
Study148,unclear,not_applicable,unclear,FALSE
Study149,unclear,NA,NA,FALSE
Study150,aligned,endpoints_only,within,FALSE
Study151,unclear,NA,NA,FALSE
Study152,unclear,NA,within,FALSE
Study153,unclear,NA,NA,FALSE
Study154,unclear,NA,NA,FALSE
Study155,unclear,NA,NA,FALSE
Study156,aligned,not_applicable,within,FALSE
Study157,unclear,NA,NA,FALSE
