article_id,theory_type,name,role,tested_prediction,prediction_strength,rival_theories_acknowledged,justification,confidence,name_raw
Study001,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.8,Self-Determination Theory
Study001,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.8,Central Governor Model
Study001,explicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.8,Dual-Process Model
Study002,explicit,Central Governor Model,operational,"The physical demands of soccer are multifactorial, and these demands may vary depending on the tactical formation, opponent standard, and other contextual factors.",strong,TRUE,NA,0.85,Central Governor Model
Study003,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study003,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.55,Constraint-Led Approach
Study003,implicit,"Mechanistic Explanatory Models (Energy Stored By Parallel And Series Elastic Components, Pre-Activation During The Eccentric Phase, Stretch Reflex Response To The Prior Eccentric Contraction, Residual Force Enhancement At The Sarcomere Level)",operational,ECC-CON contractions will generate greater mean power with all loads than CON-Only contractions.,strong,FALSE,ECC-CON contractions will generate greater mean power with all loads than CON-Only contractions.,0.85,"Mechanistic explanatory models (energy stored by parallel and series elastic components, pre-activation during the eccentric phase, stretch reflex response to the prior eccentric contraction, residual force enhancement at the sarcomere level)"
Study004,explicit,Constraint-Led Approach,operational,Individuals with CAI will display altered ankle-joint kinetics and greater proximal-joint stiffness than healthy control participants during the stance phase of a side-cutting task.,strong,FALSE,NA,0.85,Constraint-Led Approach
Study005,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study005,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.55,Central Governor Model
Study006,explicit,Self-Regulation Theory,contextual,NA,absent,FALSE,NA,0.7,Self-Regulation Theory
Study006,explicit,Central Governor Model,operational,running HIIT program would induce larger effects despite similar gut microbiota composition alterations,strong,FALSE,NA,0.85,Central Governor Model
Study007,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.85,Self-Determination Theory
Study007,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.85,Central Governor Model
Study007,explicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.85,Dual-Process Model
Study007,implicit,Rate Of Force Development (Rfd) And Isometric Peak Force (Ipf),operational,"Stronger players will have a higher performance on handball-specific fitness elements compared with their weaker counterparts, whereas strength and RFD will significantly be correlated with handball-specific fitness elements.",strong,FALSE,"Stronger players will have a higher performance on handball-specific fitness elements compared with their weaker counterparts, whereas strength and RFD will significantly be correlated with handball-specific fitness elements.",0.95,Rate of Force Development (RFD) and Isometric Peak Force (IPF)
Study008,explicit,Central Governor Model,operational,larger performance gains in hypoxia compared to normoxia,strong,FALSE,NA,0.85,Central Governor Model
Study009,explicit,Central Governor Model,operational,NA,absent,FALSE,NA,0.85,Central Governor Model
Study010,explicit,Central Governor Model,operational,"The greatest performance would be during the first 15-minute period of the match regardless of the playing position, and the lowest physical performance would be found toward the end of the match (60-75 minutes and 75-90 minutes).",strong,FALSE,NA,0.85,Central Governor Model
Study011,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.8,Self-Determination Theory
Study011,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.8,Central Governor Model
Study011,explicit,Inhibitory Control (Ic),operational,the degree of post-exercise IC improvements would be greater following LV-HIIE than following MCE,strong,FALSE,NA,0.9,Inhibitory Control (IC)
Study012,implicit,Self-Organizing Systems Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Organizing Systems Theory
Study013,explicit,Central Governor Model,operational,"greater EPOC after concurrent training compared to resistance or aerobic training performed in isolation, even in protocols matched for the overall EE",strong,FALSE,NA,0.85,Central Governor Model
Study014,explicit,Central Governor Model,operational,neural mechanisms have been suggested to be involved in cross-education,strong,TRUE,NA,0.85,Central Governor Model
Study014,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.65,Self-Determination Theory
Study015,explicit,Caloric Balance Theory,contextual,NA,absent,FALSE,NA,0.8,Caloric Balance Theory
Study015,explicit,Nutrient Balance Theory,operational,"greater weight loss and beneficial change in body composition (i.e., maintaining fat-free mass) versus the use of Caloric balance when combined with exercise in a weight loss regimen",strong,FALSE,NA,0.9,Nutrient Balance Theory
Study016,explicit,Self-Organizing Systems Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Organizing Systems Theory
Study017,explicit,Self-Determination Theory,operational,affective response to exercise determines future commitment to regular physical activity,strong,FALSE,NA,0.85,Self-Determination Theory
Study017,explicit,Constraint-Led Approach,operational,exercise intensity increases due to the concomitant enhanced negative interoceptive input from the body and a decrement in cognitive control,strong,FALSE,NA,0.85,Constraint-Led Approach
Study017,implicit,Dual-Process Model,operational,"positive affective response typically results in regular participation, while negative affective response leads to avoidance of physical activity",strong,FALSE,"positive affective response typically results in regular participation, while negative affective response leads to avoidance of physical activity",0.8,Dual-Process Model
Study018,explicit,Self-Determination Theory,operational,"Acute caffeine supplementation would improve sprint performance, along with increases in propulsive forces as propulsive forces are determinants of sprint acceleration performance.",strong,FALSE,NA,0.85,Self-Determination Theory
Study019,explicit,Mechano-Metabolic Stimuli,contextual,NA,absent,FALSE,NA,0.55,Mechano-metabolic stimuli
Study019,explicit,Tendon Strain,operational,"tendon stiffness, Young's modulus, and tendon size were only increased in the DF condition following the intervention.",moderate,FALSE,NA,0.85,Tendon strain
Study019,explicit,Muscle Adaptation,operational,adaptive changes in morphological and mechanical properties of the muscle did not differ between DF and PF.,moderate,FALSE,NA,0.85,Muscle adaptation
Study019,implicit,Mtu Imbalance,operational,tendon would be more sensitive to the operating magnitude of tendon strain but less to metabolic stress exercise.,strong,FALSE,tendon would be more sensitive to the operating magnitude of tendon strain but less to metabolic stress exercise.,0.85,MTU imbalance
Study020,explicit,Constraint-Led Approach,operational,"UT/SA, UT/LT, and UT/MT activation ratios are important in shoulder rehabilitation.",moderate,FALSE,NA,0.85,Constraint-Led Approach
Study020,explicit,Central Governor Model,operational,Increasing the difficulty level of plank variations will be more effective in maintaining optimal scapular muscle activation ratios.,moderate,FALSE,NA,0.85,Central Governor Model
Study021,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.85,Self-Determination Theory
Study021,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.85,Central Governor Model
Study022,explicit,Central Governor Model,operational,overreaching results in an inferior supercompensation following recovery compared with acute fatigue,strong,TRUE,NA,0.85,Central Governor Model
Study022,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study022,implicit,Dual-Process Model,operational,overreaching is accompanied by a reduction in circulating blood lactate at intensities above ~70% of maximal oxygen consumption (VO2 max),moderate,TRUE,overreaching is accompanied by a reduction in circulating blood lactate at intensities above ~70% of maximal oxygen consumption (VO2 max),0.75,Dual-Process Model
Study023,explicit,Self-Organizing Capacity Theory,operational,RT protocols with lower numbers of repetitions per set and longer rest times would elicit lower mechanical (velocity loss) and metabolic (blood lactate concentration) fatigue than the opposite configuration.,strong,TRUE,NA,0.85,Self-Organizing Capacity Theory
Study024,explicit,Central Governor Model,operational,The effect of caffeine to shift substrate oxidation towards a higher reliance on fat during submaximal aerobic exercise.,strong,FALSE,NA,0.85,Central Governor Model
Study025,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.85,Self-Determination Theory
Study025,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.85,Central Governor Model
Study025,explicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.85,Dual-Process Model
Study025,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.85,Constraint-Led Approach
Study025,implicit,Psychobiological Model Of Endurance,operational,"Ingestion of 20 g of a high-quality protein source, such as egg or whey protein, have been reported to maximize postexercise muscle protein synthesis rates in healthy adults.",strong,FALSE,"Ingestion of 20 g of a high-quality protein source, such as egg or whey protein, have been reported to maximize postexercise muscle protein synthesis rates in healthy adults.",0.85,Psychobiological model of endurance
Study025,implicit,Effort-Based Decision Model,operational,"Ingestion of dietary collagen may be more effective in stimulating muscle connective protein synthesis rates, due to its high glycine and proline contents.",strong,FALSE,"Ingestion of dietary collagen may be more effective in stimulating muscle connective protein synthesis rates, due to its high glycine and proline contents.",0.85,Effort-based decision model
Study026,explicit,Sensory Reweighting Theory,operational,Participants in both recent concussion and concussion history groups will display sensory reweighting impairments relative to the control group.,strong,TRUE,NA,0.85,Sensory Reweighting Theory
Study027,explicit,Heat Shock Response,contextual,NA,absent,FALSE,NA,0.8,Heat Shock Response
Study027,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.8,Central Governor Model
Study027,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.8,Self-Determination Theory
Study028,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study029,explicit,Central Governor Model,operational,The critical intensity represents the maximal sustainable work rate at which energy supply can be provided and sustained from oxidative metabolism.,strong,TRUE,NA,0.85,Central Governor Model
Study029,implicit,Dual-Process Model,operational,"Exercise performed at greater intensities requires ATP to be resynthesised from substrate-level phosphorylation, leading to a progressive loss of intramuscular homeostasis and a shorter time to task failure.",strong,TRUE,"Exercise performed at greater intensities requires ATP to be resynthesised from substrate-level phosphorylation, leading to a progressive loss of intramuscular homeostasis and a shorter time to task failure.",0.85,Dual-Process Model
Study029,implicit,Mechanistic Explanatory Model Of Endurance,operational,The sex difference in fatigability is dependent upon the intensity and contraction modality of the task.,strong,TRUE,The sex difference in fatigability is dependent upon the intensity and contraction modality of the task.,0.85,Mechanistic explanatory model of endurance
Study030,explicit,Central Governor Model,operational,12 mg•day -1 astaxanthin may provide an ergogenic benefit and promote fat oxidation during endurance-type cycling time trials.,moderate,FALSE,NA,0.85,Central Governor Model
Study031,explicit,Repeated Bout Effect (Rbe),operational,Muscle damage is much less during a secondary bout of eccentric exercise due to neuromuscular system becoming less susceptible to EIMD.,strong,TRUE,NA,0.85,Repeated Bout Effect (RBE)
Study031,explicit,Central Governor Model,operational,The central nervous system adjusts its recruitment strategies to distribute the mechanical stress over a greater motor unit pool to protect the muscle from damage during a subsequent exercise.,strong,TRUE,NA,0.85,Central Governor Model (CGM)
Study031,implicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.55,Dual-Process Model (DPM)
Study032,implicit,Self-Myofascial Maintenance Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Myofascial Maintenance Theory
Study032,implicit,Muscle Damage Theory,operational,immobilization exacerbates muscle damage after eccentric exercise,moderate,FALSE,immobilization exacerbates muscle damage after eccentric exercise,0.75,Muscle Damage Theory
Study032,implicit,Mitochondrial Function Theory,contextual,NA,absent,FALSE,NA,0.55,Mitochondrial Function Theory
Study033,explicit,Constraint-Led Approach,operational,"acute high-volume sets to failure would induce perturbations in cardiac function and increase wall thickness for up to 24 h, and RE would increase circumferential shorting and decrease the afterload",strong,FALSE,NA,0.85,Constraint-Led Approach
Study034,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.85,Self-Determination Theory
Study034,explicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.85,Dual-Process Model
Study034,explicit,Hodges And Tucker's Model Of Pain-Induced Neuromuscular Alterations,operational,Patients with both higher severity and longer duration of anterior knee pain were more likely to exhibit further deficits in quadriceps function.,moderate,FALSE,NA,0.85,Hodges and Tucker's model of pain-induced neuromuscular alterations
Study035,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.8,Self-Determination Theory
Study035,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.8,Central Governor Model
Study035,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.8,Constraint-Led Approach
Study036,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.85,Central Governor Model
Study036,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.85,Self-Determination Theory
Study036,explicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.85,Dual-Process Model
Study036,implicit,Stretch-Shortening Cycle (Ssc) Theory,operational,jump height tends to increase after the adolescent growth spurt,moderate,FALSE,jump height tends to increase after the adolescent growth spurt,0.65,Stretch-Shortening Cycle (SSC) Theory
Study037,explicit,Central Governor Model,operational,Cumulative effect of multiple exercise bouts would have a negative effect on cognitive performance and mood on day 2 compared to day 1.,strong,TRUE,NA,0.85,Central Governor Model
Study037,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study037,explicit,Cognitive Component Skills Theory,contextual,NA,absent,FALSE,NA,0.55,Cognitive Component Skills Theory
Study037,implicit,Dual-Process Model,operational,"Fit individuals with a history of training, who are accustomed to high-intensity exercise, may compensate for the negative effects of fatigue on cognitive function via a reduced allocation of attentional resources.",strong,TRUE,"Fit individuals with a history of training, who are accustomed to high-intensity exercise, may compensate for the negative effects of fatigue on cognitive function via a reduced allocation of attentional resources.",0.85,Dual-Process Model
Study038,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study038,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.55,Central Governor Model
Study038,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.55,Constraint-Led Approach
Study038,implicit,Dual-Process Model,operational,potentiation and maintenance effect may occur when AEL is prescribed for the first repetition of 2-5 cluster repetitions.,moderate,FALSE,potentiation and maintenance effect may occur when AEL is prescribed for the first repetition of 2-5 cluster repetitions.,0.8,Dual-Process Model
Study039,explicit,Constraint-Led Approach,operational,greater ACL loading variables with contralateral perturbation direction and upper-trunk location compared to other perturbation directions and locations,strong,TRUE,NA,0.85,Constraint-Led Approach
Study040,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.85,Central Governor Model
Study041,explicit,Self-Regulation Theory,operational,Greater lower-body muscle activation and recruitment leads to better muscle perfusion and reduction in oxygen consumption during subsequent cycling performance.,strong,FALSE,NA,0.85,Self-Regulation Theory
Study041,implicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.55,Dual-Process Model
Study042,explicit,Muscle Synergy Theory,operational,The CNS controls specific muscle groups rather than a single muscle to perform motor tasks.,strong,FALSE,NA,0.85,Muscle Synergy Theory
Study042,explicit,Cocontraction Index Theory,operational,"Increased CI of ankle muscles (i.e., extrinsic foot muscles) was reported in older adults during balance tasks.",strong,FALSE,NA,0.85,Cocontraction Index Theory
Study042,explicit,Intermuscular Coherence Theory,operational,The beta and gamma frequency band of intermuscular coherence has been suggested to originate from the motor cortex.,strong,FALSE,NA,0.85,Intermuscular Coherence Theory
Study043,explicit,Central Governor Model,operational,HIIT improves VȮ 2max and long-distance endurance performance more than SIT,strong,TRUE,NA,0.85,Central Governor Model
Study044,explicit,Constraint-Led Approach,operational,correlations between hip strength and pitching biomechanics,moderate,FALSE,NA,0.85,Constraint-Led Approach (CLA)
Study044,explicit,Central Governor Model,operational,strengthening of the lower extremities enhances performance and avoids injury,strong,FALSE,NA,0.85,Central Governor Model (CGM)
Study045,explicit,Constraint-Led Approach,operational,"Greater neck strength results in greater tensile stiffness and cross-sectional area of the muscles, allowing for more effective absorption of external forces from impacts.",strong,FALSE,NA,0.85,Constraint-Led Approach
Study046,explicit,Central Governor Model,operational,"optimal cadence increases with power output, and physiological and perceptual responses follow curvilinear curves with different optimal cadences depending on the parameter considered",strong,TRUE,NA,0.85,Central Governor Model
Study047,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.85,Self-Determination Theory
Study047,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.85,Central Governor Model
Study047,explicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.85,Dual-Process Model
Study047,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.85,Constraint-Led Approach
Study048,explicit,Chronic Ankle Instability (Cai),contextual,NA,absent,FALSE,NA,0.8,Chronic Ankle Instability (CAI)
Study048,explicit,Self-Reported Function,contextual,NA,absent,FALSE,NA,0.8,Self-Reported Function
Study048,explicit,Neuromuscular Impairments,contextual,NA,absent,FALSE,NA,0.8,Neuromuscular Impairments
Study048,explicit,Submaximal Isometric Strength Control,operational,"individuals with CAI will show a lower maximal isometric strength, steadiness, and accuracy of both knee extensor and flexor muscles in comparison with healthy controls.",strong,FALSE,NA,0.9,Submaximal Isometric Strength Control
Study049,explicit,Constraint-Led Approach,operational,greater level of evoked torque would be generated by wide-pulse NMES protocols,strong,FALSE,NA,0.85,Constraint-Led Approach
Study049,implicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.55,Dual-Process Model
Study050,explicit,Constraint-Led Approach,operational,GRF data and lower-limb joint torques and power would change during diving motion according to the differences in distance and height of the suspended ball.,strong,FALSE,NA,0.85,Constraint-Led Approach
Study051,explicit,Mechanistic Explanatory Model Of Patellofemoral Joint Stress,operational,"Patellofemoral force and stress would be greater performing ball squat than wall squat during squat descent, greater in wall squat than ball squat during squat ascent, and greater with short HTWD than long HTWD.",strong,FALSE,NA,0.85,Mechanistic Explanatory Model of Patellofemoral Joint Stress
Study052,explicit,Constraint-Led Approach,operational,The torque and cadence relationship will differ between cyclists of different performance levels.,moderate,FALSE,NA,0.85,Constraint-Led Approach (CLA)
Study053,explicit,Central Governor Model,operational,electrically evoked contractile output would be impaired less and recover sooner in comparison with voluntary contractile output,strong,TRUE,NA,0.85,Central Governor Model
Study054,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.85,Self-Determination Theory
Study054,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.85,Central Governor Model
Study054,explicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.85,Dual-Process Model
Study054,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.85,Constraint-Led Approach
Study054,explicit,Psychobiological Model Of Endurance,operational,"WBC-RSH would improve performance during exercise in hypoxia compared with RSH and RSH-WBC, through an increase in muscle oxygenation 15 ; RSH-WBC would induce improved sleep compared to RSH and control night 16,17 ; and both WBC conditions would enhance recovery of HRV indices compared to RSH.",strong,FALSE,NA,0.85,Psychobiological Model of Endurance
Study055,explicit,Central Governor Model,operational,wetsuit use could have an additional role in fatigability and overall performance,moderate,TRUE,NA,0.85,Central Governor Model
Study056,explicit,Central Governor Model,operational,EO can be easily measured using the eccentric:concentric ratio (E:C),strong,TRUE,NA,0.85,Central Governor Model
Study056,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study057,implicit,Oxidative-Glycolytic Balance,contextual,NA,absent,FALSE,NA,0.7,oxidative-glycolytic balance
Study058,explicit,Central Governor Model,operational,"performance fatigability would be greater at 110% than 90% GET, with no difference between 90% and 70% GET",strong,TRUE,NA,0.85,Central Governor Model
Study059,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study059,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.55,Constraint-Led Approach
Study059,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.55,Central Governor Model
Study060,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.85,Self-Determination Theory
Study060,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.85,Central Governor Model
Study060,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.85,Constraint-Led Approach
Study060,implicit,Dual-Process Model,operational,the magnitude of muscle damage induced by maximal eccentric exercise of the elbow flexors was reduced when the second bout of the same exercise was performed by the contralateral homologous muscle.,strong,FALSE,the magnitude of muscle damage induced by maximal eccentric exercise of the elbow flexors was reduced when the second bout of the same exercise was performed by the contralateral homologous muscle.,0.85,Dual-Process Model
Study061,explicit,Constraint-Led Approach,operational,Field hockey athletes will display altered scapular balance ratios compared with healthy nonathletes.,moderate,FALSE,NA,0.85,Constraint-Led Approach
Study062,explicit,Ventilatory Constraints,contextual,NA,absent,FALSE,NA,0.8,Ventilatory Constraints
Study062,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.8,Central Governor Model
Study062,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.8,Self-Determination Theory
Study063,explicit,Self-Determination Theory,operational,Exercisers given more autonomy will have more positive psychological responses compared to imposed HIIT sessions.,strong,TRUE,NA,0.85,Self-Determination Theory (SDT)
Study063,explicit,Dual-Mode Theory,operational,Affective valence is generally steady and positive as exercise intensity increases up to the anaerobic threshold and begins to decline and/or become negative beyond the anaerobic threshold.,strong,TRUE,NA,0.85,Dual-Mode Theory
Study064,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.7,Central Governor Model
Study065,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.8,Central Governor Model
Study065,implicit,Dual-Process Model,operational,"caffeine ingestion increases exercise ventilation, thereby reducing EIAH and improving 800-m run performance",strong,FALSE,"caffeine ingestion increases exercise ventilation, thereby reducing EIAH and improving 800-m run performance",0.9,Dual-Process Model
Study066,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.8,Central Governor Model
Study066,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.8,Self-Determination Theory
Study066,explicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.8,Dual-Process Model
Study066,explicit,Psychobiological Model Of Endurance,operational,"Hypohydration would impair running performance, compared to when euhydration was maintained with water ingestion.",strong,FALSE,NA,0.9,Psychobiological Model of Endurance
Study067,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study067,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.55,Central Governor Model
Study067,explicit,Postactivation Performance Enhancement (Pape),operational,"resistance priming session improves performance in all measures, whereas the sprint session increases only sprint performance.",strong,FALSE,NA,0.85,Postactivation Performance Enhancement (PAPE)
Study067,implicit,Priming,operational,"resistance priming session improves performance in all measures, whereas the sprint session increases only sprint performance.",strong,FALSE,"resistance priming session improves performance in all measures, whereas the sprint session increases only sprint performance.",0.85,Priming
Study068,explicit,Central Governor Model,operational,VO2max and RE are compromised following prolonged heavy running exercise,strong,FALSE,NA,0.85,Central Governor Model
Study068,explicit,Physiological Resilience,operational,VO2max and RE are compromised following prolonged heavy running exercise,strong,FALSE,NA,0.85,Physiological Resilience
Study069,explicit,Stretch-Shortening Cycle,contextual,NA,absent,FALSE,NA,0.8,Stretch-Shortening Cycle
Study069,explicit,Eccentric Overloaded Exercises,operational,"increases in overall strength, muscle power, hypertrophy, jumping ability, changes of direction, and speed",strong,FALSE,NA,0.9,Eccentric Overloaded Exercises
Study069,explicit,Flywheel Neuromuscular Training (Fnmt),operational,"improves physical determinants of tennis performance, especially countermovement jump (CMJ)",strong,FALSE,NA,0.9,Flywheel Neuromuscular Training (FNMT)
Study069,explicit,Machine-Based Neuromuscular Training (Mnmt),operational,"improves physical determinants of tennis performance, but less effective than FNMT",strong,FALSE,NA,0.9,Machine-Based Neuromuscular Training (MNMT)
Study070,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.7,Constraint-Led Approach
Study071,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.8,Self-Determination Theory
Study072,explicit,Central Governor Model,operational,"Athletes with a history of hamstring strain injury demonstrate impaired muscle response coordination in the trunk, pelvis, and lower extremity kinetic chain during sudden and unexpected movements.",strong,TRUE,NA,0.85,Central Governor Model
Study073,explicit,Structure Mapping Model,operational,analogy learning leads to reduced reliance on verbal-declarative knowledge to control a movement,strong,TRUE,NA,0.85,Structure Mapping Model
Study073,explicit,Visual-Verbal Preference Theory,operational,people with high verbal preference may benefit more from analogy learning due to reduced reliance on verbal control processes,strong,TRUE,NA,0.85,Visual-Verbal Preference Theory
Study073,implicit,Dual-Process Model,operational,analogy learning leads to reduced cognitive load and increased efficiency in motor planning,strong,TRUE,analogy learning leads to reduced cognitive load and increased efficiency in motor planning,0.85,Dual-Process Model
Study074,explicit,Mechanical Properties Of Barbell,contextual,NA,absent,FALSE,NA,0.55,Mechanical properties of barbell
Study074,implicit,Moment Of Inertia And Its Effects On Movement,contextual,NA,absent,FALSE,NA,0.55,Moment of inertia and its effects on movement
Study075,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.85,Self-Determination Theory
Study075,explicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.85,Dual-Process Model
Study075,explicit,Psychobiological Model Of Endurance,operational,theta waves down-regulated during exercise in the presence of music,strong,FALSE,NA,0.95,Psychobiological Model of Endurance
Study076,explicit,Constraint-Led Approach,operational,A more negative touchdown distance would be associated with a greater ratio of forces during the first four steps of a maximal effort sprint.,strong,TRUE,NA,0.85,Constraint-Led Approach (CLA)
Study077,explicit,Constraint-Led Approach,contextual,NA,absent,FALSE,NA,0.8,Constraint-Led Approach
Study077,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.8,Self-Determination Theory
Study077,implicit,Dual-Process Model,operational,stroboscopic eyewear may be a promising tool to incorporate attention into prematch warm-up routines especially in visuomotor demanding sports such as table tennis.,weak,FALSE,stroboscopic eyewear may be a promising tool to incorporate attention into prematch warm-up routines especially in visuomotor demanding sports such as table tennis.,0.7,Dual-Process Model
Study078,explicit,Central Governor Model,operational,a low relative load (60% 1RM) and a high velocity loss (30%) would result in an increased RE 2000 time trial than a high relative load (80% 1RM) and a low velocity loss (10%),moderate,FALSE,NA,0.85,Central Governor Model
Study079,explicit,Constraint-Led Approach,operational,Less available time would imply higher mental fatigue (Hypothesis 1) and higher internal (Hypothesis 2a) and external (Hypothesis 2b) physical load than soccer scenarios with more available time.,strong,TRUE,NA,0.85,Constraint-Led Approach
Study079,explicit,Psychobiological Model Of Endurance,operational,NA,strong,TRUE,NA,0.85,Psychobiological model of endurance
Study079,explicit,Strength Model Of Self-Control,operational,NA,strong,TRUE,NA,0.85,Strength model of self-control
Study079,explicit,Ego-Depletion Model,operational,NA,strong,TRUE,NA,0.85,Ego-depletion model
Study080,explicit,Modified Perceptual Training Framework,operational,"The transfer of perceptual-cognitive training depends on three factors: The first factor is the perceptual function that is trained. In other words, the complexity of the visual-cognitive skill similar to the targeted task in real-life.",strong,TRUE,NA,0.85,Modified Perceptual Training Framework
Study080,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study080,explicit,Central Governor Model,contextual,NA,absent,FALSE,NA,0.55,Central Governor Model
Study080,implicit,Dual-Process Model,contextual,NA,absent,FALSE,NA,0.55,Dual-Process Model
Study081,explicit,Constraint-Led Approach,operational,Higher MTPJ stiffness would lead to increased jump height and take-off velocity.,strong,TRUE,NA,0.85,Constraint-Led Approach
Study081,explicit,Self-Determination Theory,contextual,NA,absent,FALSE,NA,0.55,Self-Determination Theory
Study082,explicit,Core Stability Theory,contextual,NA,absent,FALSE,NA,0.7,Core Stability Theory
Study083,explicit,Central Governor Model,operational,sprint performance and anteroposterior propulsive forces would decrease post-fatigue,strong,TRUE,NA,0.85,Central Governor Model
Study084,explicit,Mechanoresponsive Theory,operational,"AT morphological properties (length and CSA) will increase; peak force, stress, corresponding loading rate, and elongation of AT will increase",strong,FALSE,NA,0.85,Mechanoresponsive Theory
