article_id,hypothesis_text,linked_theory,linkage_strength,inference_type,mechanism_specified,mechanism_description,linkage_explanation
Study001,"Higher physiological load will be associated with traditional SSG with goalkeepers, while possession and overload drills will require a greater kinematic workload, specifically with overloaded teams who may also elicit a greater internal response.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the research context and previous findings, but there is no explicit theoretical grounding."
Study002,The study hypothesis was that possession and team formation would affect positional match running demands.,NA,none,motivated,FALSE,NA,"The study hypothesis is motivated by previous research, but no explicit theoretical framework is stated."
Study003,ECC-CON contractions would generate greater mean power with all loads than CON-Only contractions.,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical framework of muscle power production, but no explicit theory is cited."
Study004,We hypothesised that individuals with CAI would display altered lower limb joint kinetic patterns and more proximal joint stiffness than healthy individuals serving as controls.,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the context of CAI and its effects on ankle-joint kinetics, but no explicit theoretical framework is provided."
Study005,positional differences will exist for technical and running performance,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of Gaelic football, but no explicit theory is cited."
Study005,there will be a distinct difference between competition grades for technical and running performance,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of Gaelic football, but no explicit theory is cited."
Study006,"both programs would be effective in decreasing FM deposits, including total and (intra)-abdominal FM",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the general context of exercise and FM loss, but no specific theory is cited."
Study006,the running HIIT program would induce larger effects despite similar gut microbiota composition alterations,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the context of exercise modality and FM loss, but no specific theory is cited."
Study007,Stronger players will have a higher performance on handball-specific fitness elements compared with their weaker counterparts.,NA,none,motivated,FALSE,NA,"The study aims to investigate the influence of strength level on handball-specific fitness elements, but no explicit theory is cited."
Study007,Strength and RFD will significantly be correlated with handball-specific fitness elements.,NA,none,motivated,FALSE,NA,"The study aims to examine the relationship between strength and RFD with handball-specific fitness elements, but no explicit theory is cited."
Study009,The release of this occurs predominantly during high-intensity exercises and train.,NA,none,none,FALSE,NA,No theoretical grounding is explicitly stated for this hypothesis.
Study011,the degree of exercise-induced IC improvements would be greater following LV-HIIE than following MCE,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the previous findings on the relationship between exercise-induced lactate and IC improvements, but there is no explicit theoretical grounding."
Study012,delaying the gradual introduction of full loading by 6 weeks in the initial 26 weeks would reduce the heel-rise height difference between the injured and uninjured leg 1 year after surgery,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the desire to minimize tendon elongation, but no explicit theoretical framework is provided"
Study013,"We hypothesized that concurrent training would induce greater EPOC in comparison with resistance or aerobic training performed in isolation, even in protocols matched for the overall EE.",NA,none,motivated,FALSE,NA,The hypothesis is motivated by the desire to address gaps in existing research and provide a comprehensive understanding of EPOC in older adults.
Study014,We hypothesised that both groups would show cross-education effects.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of cross-education, but no explicit theory is cited."
Study014,We hypothesised that youth could show more pronounced cross-education effects.,NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the theoretical framework of cross-education, but no explicit theory is cited."
Study015,"use of nutrient balance allows not only for greater weight loss but will allow for a greater beneficial change in body composition (i.e., maintaining fat-free mass) versus the use of Caloric balance when combined with exercise in a weight loss regimen",Nutrient Balance Theory,explicit,derived,TRUE,"the central tenet of Caloric balance focuses on the idea that consumption of more Calories than expended in activities, whereas Nutrient balance allows for a greater beneficial change in body composition (i.e., maintaining fat-free mass)","The hypothesis is derived from the core claims of Nutrient Balance Theory, which emphasizes the importance of nutrient balance for achieving greater weight loss and beneficial changes in body composition."
Study016,"ROTC cadets would exhibit improvements in all skeletal, body composition, and performance metrics post 6 months compared to their baseline values and demonstrate similar or greater improvements than physically active matched controls.",NA,none,motivated,FALSE,NA,"The hypothesis is motivated by the context of ROTC training and the desire to improve physical fitness, but no explicit theoretical framework is provided."
Study018,"It was hypothesized that acute caffeine supplementation would improve sprint performance, along with increases in propulsive forces as propulsive forces are determinants of sprint acceleration performance.",NA,none,motivated,TRUE,propulsive forces are determinants of sprint acceleration performance,"The hypothesis is motivated by the theoretical framework that propulsive forces are important for sprint acceleration, but there is no explicit logical connection between the theory and the hypothesis."
Study019,Tendon would be more sensitive to the operating magnitude of tendon strain but less to metabolic stress exercise.,Mechano-Metabolic Stimuli,explicit,derived,TRUE,The experienced tendon strain is transferred to its cellular cytoskeleton via the extracellular matrix causing intracellular signaling of gene and growth factor expression which in turn increase collagen and matrix protein synthesis.,"This hypothesis follows deductively from the Mechano-Metabolic Stimuli theory's core claims, given explicit auxiliary assumptions."
Study021,RT can be safely practiced during Ramadan in both FED and FAST while maintaining muscle strength and hypertrophy,NA,none,motivated,FALSE,NA,The hypothesis is motivated by the context of Ramadan fasting and the need for strength and conditioning specialists to choose an appropriate training period
Study021,there are larger increases in muscle strength and hypertrophy when training in the FED compared with the FAST,NA,none,motivated,FALSE,NA,The hypothesis is motivated by the contrasting opinions on the timing of RT during RIF and the need to investigate the effects of RT in both FED and FAST
Study022,"overreached endurance athletes would have a reduced respiratory exchange ratio (RER) during submaximal exercise, indicating reduced carbohydrate utilization",NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical framework of overreaching, but there is no explicit logical connection between the theory and the hypothesis."
Study022,a CGM detectable decrease in circulating glucose during exercise,NA,none,consistent,FALSE,NA,"The hypothesis is motivated by the theoretical framework of overreaching, but there is no explicit logical connection between the theory and the hypothesis."
