article_id,detection_type,name,theory_framework_type,role,tested_prediction,prediction_strength,boundary_conditions_met,rival_theories_acknowledged,justification,confidence,name_raw
Study003,implicit,Stretch-Shortening Cycle (Ssc) Neuromechanical Model,causal,operational,"Performing a concentric ballistic lift immediately after an eccentric lowering phase (ECC-CON) will generate greater mean concentric power, force, velocity, and muscle activation than performing the concentric lift from rest (CON-Only) in older adults.",moderate,within,TRUE,"Performing a concentric ballistic lift immediately after an eccentric lowering phase (ECC-CON) will generate greater mean concentric power, force, velocity, and muscle activation than performing the concentric lift from rest (CON-Only) in older adults.",0.75,Stretch-Shortening Cycle (SSC) Neuromechanical Model
Study004,implicit,Intralimb Redistribution Of Impact-Force Attenuation,causal,operational,Individuals with CAI will display altered lower limb joint kinetic patterns and more proximal joint stiffness than healthy controls during a side-cutting task.,moderate,within,FALSE,Individuals with CAI will display altered lower limb joint kinetic patterns and more proximal joint stiffness than healthy controls during a side-cutting task.,0.7,Intralimb Redistribution of Impact-Force Attenuation
Study004,implicit,Altered Motor-Control Strategy Theory (Cai),causal,contextual,NA,absent,within,FALSE,NA,0.65,Altered Motor-Control Strategy Theory (CAI)
Study006,explicit,Gut Microbiota-Dysbiosis Theory Of Obesity,causal,contextual,NA,absent,within,FALSE,NA,0.85,Gut Microbiota-Dysbiosis Theory of Obesity
Study006,implicit,Energy Balance / Metabolic Theory Of Fat Loss,causal,operational,"Isoenergetic HIIT programs (running vs. cycling) will produce different magnitudes of fat mass (FM) loss due to modality-specific differences in post-exercise metabolism (EPOC), substrate utilization, and muscle recruitment.",moderate,within,FALSE,"Isoenergetic HIIT programs (running vs. cycling) will produce different magnitudes of fat mass (FM) loss due to modality-specific differences in post-exercise metabolism (EPOC), substrate utilization, and muscle recruitment.",0.7,Energy Balance / Metabolic Theory of Fat Loss
Study011,implicit,Cerebral Lactate Metabolism Hypothesis,causal,operational,The degree of exercise-induced inhibitory control (IC) improvements will be greater following low-volume high-intensity interval exercise (LV-HIIE) than following moderate-intensity continuous exercise (MCE).,moderate,within,FALSE,The degree of exercise-induced inhibitory control (IC) improvements will be greater following low-volume high-intensity interval exercise (LV-HIIE) than following moderate-intensity continuous exercise (MCE).,0.7,Cerebral Lactate Metabolism Hypothesis
Study012,implicit,Muscle Architecture-Force/Excursion Relationship,causal,operational,"Delaying the introduction of full loading by 6 weeks after surgery will reduce the heel-rise height difference (a proxy for muscle excursion deficit) at 1 year, by preventing tendon elongation and thereby preserving optimal muscle fascicle length and force-generating capacity.",moderate,within,FALSE,"Delaying the introduction of full loading by 6 weeks after surgery will reduce the heel-rise height difference (a proxy for muscle excursion deficit) at 1 year, by preventing tendon elongation and thereby preserving optimal muscle fascicle length and force-generating capacity.",0.7,Muscle Architecture-Force/Excursion Relationship
Study014,implicit,Neural Adaptation Theory Of Cross-Education,causal,operational,Youth will show more pronounced cross-education effects than adults due to a higher contribution from neuromuscular learning/motor control adaptations.,moderate,within,TRUE,Youth will show more pronounced cross-education effects than adults due to a higher contribution from neuromuscular learning/motor control adaptations.,0.7,Neural Adaptation Theory of Cross-Education
Study015,explicit,Caloric Balance Theory (Energy Balance Theory),causal,operational,Weight loss and maintenance are achieved by creating a hypocaloric condition (Calories in < Calories out).,moderate,within,TRUE,NA,0.9,Caloric Balance Theory (Energy Balance Theory)
Study015,implicit,Nutrient Balance Theory (Nutrient-Partitioning Theory),causal,operational,"Focusing on nutrient balance (vs. caloric balance) in a weight loss regimen combined with exercise will lead to (a) greater weight loss and (b) a more beneficial change in body composition (specifically, better maintenance of fat-free mass).",moderate,within,TRUE,"Focusing on nutrient balance (vs. caloric balance) in a weight loss regimen combined with exercise will lead to (a) greater weight loss and (b) a more beneficial change in body composition (specifically, better maintenance of fat-free mass).",0.75,Nutrient Balance Theory (Nutrient-Partitioning Theory)
Study017,explicit,Prefrontal Cortex Asymmetry Model Of Affective Valence,causal,operational,"Relative left vs. right PFC activation (measured via NIRS oxygenation) is associated with positive (left > right) or negative (right > left) affective states, respectively, during exercise.",moderate,within,FALSE,NA,0.9,Prefrontal Cortex Asymmetry Model of Affective Valence
Study017,implicit,Affective Response Model Of Exercise Adherence,causal,operational,"Negative affective responses to exercise (e.g., displeasure, right > left PFC asymmetry) lead to avoidance of physical activity, while positive affective responses (e.g., pleasure, left > right PFC asymmetry) promote future commitment and adherence.",moderate,within,FALSE,"Negative affective responses to exercise (e.g., displeasure, right > left PFC asymmetry) lead to avoidance of physical activity, while positive affective responses (e.g., pleasure, left > right PFC asymmetry) promote future commitment and adherence.",0.7,Affective Response Model of Exercise Adherence
Study018,implicit,Force-Velocity/Power Determinants Of Sprint Acceleration,causal,operational,"Acute caffeine supplementation will improve sprint performance, along with increases in propulsive forces.",moderate,within,FALSE,"Acute caffeine supplementation will improve sprint performance, along with increases in propulsive forces.",0.7,Force-Velocity/Power Determinants of Sprint Acceleration
Study019,implicit,Mechano-Metabolic Sensitivity Framework,causal,operational,"Tendon adaptation (stiffness, Young's modulus, size) will be more sensitive to the magnitude of mechanical load (high tendon strain), while muscle adaptation (morphology, strength) will be more sensitive to metabolic stress and will occur similarly under both high and low mechanical loads.",moderate,within,FALSE,"Tendon adaptation (stiffness, Young's modulus, size) will be more sensitive to the magnitude of mechanical load (high tendon strain), while muscle adaptation (morphology, strength) will be more sensitive to metabolic stress and will occur similarly under both high and low mechanical loads.",0.7,Mechano-Metabolic Sensitivity Framework
Study019,implicit,Tendon Strain-Based Adaptation Model,causal,operational,"Tendon stiffness, Young's modulus, and size will increase only under the high mechanical load (dorsiflexed) condition that induces sufficient operating tendon strain (~4.5–6.5%), and not under the low-load (plantarflexed) condition despite equivalent metabolic stress.",strong,within,FALSE,"Tendon stiffness, Young's modulus, and size will increase only under the high mechanical load (dorsiflexed) condition that induces sufficient operating tendon strain (~4.5–6.5%), and not under the low-load (plantarflexed) condition despite equivalent metabolic stress.",0.75,Tendon Strain-Based Adaptation Model
