article_id,disc_reengagement,disc_overclaim,disc_quality,disc_error
Study001,absent,TRUE,weak,FALSE
Study002,absent,TRUE,weak,FALSE
Study004,full,TRUE,adequate,FALSE
Study005,absent,TRUE,weak,FALSE
Study006,partial,FALSE,adequate,FALSE
Study007,absent,TRUE,weak,FALSE
Study008,absent,TRUE,weak,FALSE
Study010,absent,FALSE,weak,FALSE
Study011,partial,TRUE,adequate,FALSE
Study012,partial,FALSE,adequate,FALSE
Study013,absent,TRUE,weak,FALSE
Study014,partial,TRUE,adequate,FALSE
Study015,full,FALSE,strong,FALSE
Study016,absent,TRUE,weak,FALSE
Study017,partial,TRUE,adequate,FALSE
Study018,partial,TRUE,adequate,FALSE
Study019,full,FALSE,strong,FALSE
Study020,absent,TRUE,weak,FALSE
Study021,absent,TRUE,weak,FALSE
Study022,partial,TRUE,adequate,FALSE
Study023,absent,FALSE,weak,FALSE
Study024,partial,TRUE,weak,FALSE
Study025,partial,FALSE,adequate,FALSE
Study026,partial,TRUE,adequate,FALSE
Study027,partial,TRUE,adequate,FALSE
Study028,absent,TRUE,weak,FALSE
Study029,partial,TRUE,adequate,FALSE
Study030,partial,FALSE,adequate,FALSE
Study032,absent,TRUE,weak,FALSE
Study033,absent,TRUE,weak,FALSE
Study034,absent,FALSE,weak,FALSE
Study035,absent,TRUE,weak,FALSE
Study036,absent,FALSE,weak,FALSE
Study037,partial,TRUE,adequate,FALSE
Study038,absent,FALSE,weak,FALSE
Study039,absent,TRUE,weak,FALSE
Study040,absent,TRUE,weak,FALSE
Study041,partial,TRUE,weak,FALSE
Study042,partial,FALSE,adequate,FALSE
Study043,absent,FALSE,adequate,FALSE
Study044,partial,TRUE,weak,FALSE
Study045,partial,FALSE,weak,FALSE
Study046,absent,FALSE,weak,FALSE
Study047,absent,TRUE,weak,FALSE
Study048,absent,FALSE,weak,FALSE
Study049,partial,TRUE,weak,FALSE
Study050,absent,FALSE,weak,FALSE
Study051,absent,FALSE,weak,FALSE
Study052,absent,FALSE,weak,FALSE
Study053,absent,FALSE,weak,FALSE
Study054,partial,TRUE,adequate,FALSE
Study055,absent,TRUE,weak,FALSE
Study056,partial,FALSE,adequate,FALSE
Study057,absent,TRUE,weak,FALSE
Study058,full,FALSE,strong,FALSE
Study059,partial,TRUE,adequate,FALSE
Study060,partial,TRUE,adequate,FALSE
Study061,absent,TRUE,weak,FALSE
Study062,absent,FALSE,weak,FALSE
Study063,partial,TRUE,weak,FALSE
Study065,partial,FALSE,adequate,FALSE
Study066,absent,FALSE,weak,FALSE
Study067,partial,FALSE,adequate,FALSE
Study068,partial,FALSE,adequate,FALSE
Study070,absent,TRUE,weak,FALSE
Study071,absent,FALSE,weak,FALSE
Study072,partial,TRUE,weak,FALSE
Study073,partial,TRUE,adequate,FALSE
Study074,absent,FALSE,weak,FALSE
Study075,partial,TRUE,adequate,FALSE
Study076,partial,FALSE,adequate,FALSE
Study077,partial,FALSE,adequate,FALSE
Study078,partial,TRUE,weak,FALSE
Study079,partial,TRUE,weak,FALSE
Study080,partial,FALSE,adequate,FALSE
Study081,partial,TRUE,adequate,FALSE
Study082,partial,FALSE,weak,FALSE
Study083,absent,TRUE,weak,FALSE
Study084,partial,FALSE,adequate,FALSE
Study085,partial,TRUE,weak,FALSE
Study086,absent,TRUE,weak,FALSE
Study087,partial,TRUE,adequate,FALSE
Study088,absent,TRUE,weak,FALSE
Study089,partial,TRUE,weak,FALSE
Study090,partial,TRUE,weak,FALSE
Study091,absent,FALSE,weak,FALSE
Study092,partial,TRUE,adequate,FALSE
Study093,partial,TRUE,adequate,FALSE
Study094,partial,FALSE,adequate,FALSE
Study095,full,TRUE,adequate,FALSE
Study096,absent,TRUE,weak,FALSE
Study097,absent,TRUE,weak,FALSE
Study098,absent,TRUE,weak,FALSE
Study099,partial,TRUE,weak,FALSE
Study100,absent,TRUE,weak,FALSE
Study101,partial,TRUE,adequate,FALSE
Study102,partial,FALSE,adequate,FALSE
Study103,absent,FALSE,weak,FALSE
Study104,absent,TRUE,weak,FALSE
Study105,absent,FALSE,weak,FALSE
Study106,absent,TRUE,weak,FALSE
Study107,absent,TRUE,weak,FALSE
Study108,partial,TRUE,adequate,FALSE
Study109,partial,TRUE,adequate,FALSE
Study110,partial,TRUE,adequate,FALSE
Study111,partial,TRUE,adequate,FALSE
Study112,absent,FALSE,weak,FALSE
Study113,partial,TRUE,weak,FALSE
Study114,absent,TRUE,weak,FALSE
Study115,partial,TRUE,adequate,FALSE
Study116,partial,FALSE,adequate,FALSE
Study117,partial,TRUE,weak,FALSE
Study118,absent,TRUE,weak,FALSE
Study119,partial,TRUE,adequate,FALSE
Study120,absent,TRUE,weak,FALSE
Study121,partial,FALSE,weak,FALSE
Study122,absent,TRUE,weak,FALSE
Study123,partial,TRUE,adequate,FALSE
Study124,partial,TRUE,adequate,FALSE
Study125,absent,FALSE,adequate,FALSE
Study126,partial,FALSE,adequate,FALSE
Study127,full,FALSE,strong,FALSE
Study128,partial,TRUE,adequate,FALSE
Study129,partial,TRUE,adequate,FALSE
Study131,partial,TRUE,weak,FALSE
Study132,absent,FALSE,weak,FALSE
Study133,partial,FALSE,adequate,FALSE
Study134,absent,FALSE,weak,FALSE
Study135,partial,TRUE,weak,FALSE
Study136,full,TRUE,strong,FALSE
Study137,partial,TRUE,weak,FALSE
Study138,partial,TRUE,weak,FALSE
Study139,absent,TRUE,weak,FALSE
Study140,NA,FALSE,NA,TRUE
Study141,partial,TRUE,adequate,FALSE
Study142,partial,TRUE,adequate,FALSE
Study143,partial,FALSE,adequate,FALSE
Study144,partial,TRUE,adequate,FALSE
Study145,partial,FALSE,adequate,FALSE
Study146,absent,FALSE,weak,FALSE
Study148,partial,FALSE,adequate,FALSE
Study149,partial,FALSE,adequate,FALSE
Study150,full,FALSE,strong,FALSE
Study151,partial,FALSE,adequate,FALSE
Study152,partial,FALSE,weak,FALSE
Study153,partial,TRUE,adequate,FALSE
Study154,partial,TRUE,adequate,FALSE
Study155,absent,FALSE,weak,FALSE
Study156,absent,FALSE,weak,FALSE
Study157,absent,TRUE,weak,FALSE
Study158,partial,FALSE,adequate,FALSE
Study159,absent,TRUE,weak,FALSE
Study160,absent,FALSE,weak,FALSE
Study161,absent,TRUE,weak,FALSE
Study162,absent,TRUE,weak,FALSE
Study164,partial,FALSE,adequate,FALSE
Study165,absent,TRUE,weak,FALSE
Study166,partial,TRUE,adequate,FALSE
Study168,partial,TRUE,adequate,FALSE
Study169,absent,TRUE,weak,FALSE
Study170,absent,FALSE,weak,FALSE
Study171,partial,TRUE,weak,FALSE
Study172,partial,FALSE,weak,FALSE
Study173,partial,TRUE,adequate,FALSE
Study174,partial,TRUE,adequate,FALSE
Study176,absent,FALSE,weak,FALSE
Study177,absent,FALSE,weak,FALSE
Study178,full,FALSE,strong,FALSE
Study179,absent,FALSE,weak,FALSE
Study180,partial,FALSE,adequate,FALSE
Study181,absent,TRUE,weak,FALSE
Study182,partial,FALSE,adequate,FALSE
Study183,partial,TRUE,adequate,FALSE
Study184,partial,FALSE,adequate,FALSE
Study185,absent,TRUE,weak,FALSE
Study186,absent,TRUE,weak,FALSE
Study187,absent,TRUE,weak,FALSE
Study188,absent,TRUE,weak,FALSE
Study189,absent,TRUE,weak,FALSE
Study190,partial,FALSE,adequate,FALSE
Study191,absent,TRUE,weak,FALSE
Study192,absent,FALSE,weak,FALSE
Study193,partial,TRUE,adequate,FALSE
Study194,partial,FALSE,adequate,FALSE
Study195,absent,FALSE,weak,FALSE
Study196,partial,TRUE,weak,FALSE
Study197,partial,TRUE,adequate,FALSE
Study199,partial,TRUE,weak,FALSE
Study200,partial,FALSE,weak,FALSE
Study201,partial,FALSE,adequate,FALSE
Study202,partial,FALSE,adequate,FALSE
Study203,partial,TRUE,weak,FALSE
Study204,partial,TRUE,adequate,FALSE
Study205,absent,TRUE,weak,FALSE
Study206,absent,TRUE,weak,FALSE
Study207,partial,TRUE,adequate,FALSE
Study208,partial,TRUE,weak,FALSE
Study209,partial,TRUE,adequate,FALSE
Study210,partial,FALSE,adequate,FALSE
Study211,full,TRUE,strong,FALSE
Study212,absent,FALSE,weak,FALSE
Study213,full,TRUE,adequate,FALSE
Study214,partial,TRUE,adequate,FALSE
Study215,absent,TRUE,weak,FALSE
Study216,partial,FALSE,adequate,FALSE
Study217,absent,TRUE,weak,FALSE
Study218,absent,FALSE,adequate,FALSE
Study219,absent,TRUE,weak,FALSE
Study220,absent,TRUE,weak,FALSE
Study221,partial,FALSE,adequate,FALSE
Study222,absent,FALSE,weak,FALSE
Study223,absent,TRUE,weak,FALSE
Study224,partial,FALSE,adequate,FALSE
Study225,absent,TRUE,weak,FALSE
Study226,partial,TRUE,adequate,FALSE
Study227,absent,TRUE,weak,FALSE
Study228,absent,TRUE,weak,FALSE
Study229,partial,TRUE,adequate,FALSE
Study230,partial,FALSE,adequate,FALSE
Study231,partial,TRUE,adequate,FALSE
Study232,partial,TRUE,adequate,FALSE
Study233,partial,TRUE,adequate,FALSE
Study234,partial,FALSE,adequate,FALSE
Study235,NA,FALSE,NA,TRUE
Study236,partial,FALSE,adequate,FALSE
Study237,absent,FALSE,weak,FALSE
Study239,partial,TRUE,adequate,FALSE
Study241,partial,TRUE,adequate,FALSE
Study242,partial,FALSE,adequate,FALSE
Study243,NA,FALSE,NA,TRUE
Study244,absent,FALSE,weak,FALSE
Study245,partial,TRUE,adequate,FALSE
Study246,absent,FALSE,weak,FALSE
Study247,partial,FALSE,adequate,FALSE
Study248,absent,TRUE,weak,FALSE
Study249,absent,TRUE,weak,FALSE
Study250,absent,FALSE,adequate,FALSE
Study251,partial,FALSE,adequate,FALSE
Study252,absent,FALSE,weak,FALSE
Study253,absent,TRUE,weak,FALSE
Study254,partial,TRUE,adequate,FALSE
Study256,partial,TRUE,adequate,FALSE
Study257,full,TRUE,adequate,FALSE
Study258,partial,TRUE,adequate,FALSE
Study259,absent,TRUE,adequate,FALSE
Study260,partial,TRUE,weak,FALSE
Study261,absent,TRUE,weak,FALSE
Study262,absent,FALSE,weak,FALSE
Study263,partial,TRUE,adequate,FALSE
Study264,absent,FALSE,weak,FALSE
Study265,absent,TRUE,weak,FALSE
Study266,partial,FALSE,adequate,FALSE
Study267,partial,TRUE,adequate,FALSE
Study268,partial,FALSE,adequate,FALSE
Study269,partial,FALSE,adequate,FALSE
Study271,partial,TRUE,weak,FALSE
Study272,partial,TRUE,adequate,FALSE
