canonical_name,aliases,domain,key_authors,year_proposed,definition,boundaries,example_use,times_extracted,last_updated,theory_type,testability_ceiling,home_domain,cross_domain_application
Acute Attention Modulation Hypothesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Acute Compression Axonopathy Hypothesis,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Acute-Chronic Adaptation Link (In Exercise Physiology),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Affective Response Mediation Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Affective Response Model Of Exercise Adherence,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Affective Response To Metabolic State Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Affective/Arousal Regulation Theory (Via Auditory Stimuli),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Afferent Input Model Of Perceived Exertion,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Altered Motor-Control Strategy Theory (Cai),NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Altered Neural Signal Processing Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Amino Acid Precursor Availability Model,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Anabolic Resistance Theory,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
Analogy Learning Framework,NA,NA,NA,NA,STUB — requires manual completion,STUB — requires manual completion,STUB — requires manual completion,1,2026-04-18,causal,NA,NA,NA
