article_id,disc_reengagement,disc_overclaim,disc_quality,disc_error
Study001,partial,FALSE,adequate,FALSE
Study002,partial,FALSE,adequate,FALSE
Study004,partial,FALSE,adequate,FALSE
Study005,NA,FALSE,NA,TRUE
Study006,partial,FALSE,adequate,FALSE
Study007,partial,FALSE,adequate,FALSE
Study008,partial,FALSE,adequate,FALSE
Study010,partial,FALSE,adequate,FALSE
Study011,partial,FALSE,adequate,FALSE
Study012,partial,FALSE,adequate,FALSE
Study013,partial,FALSE,adequate,FALSE
Study014,partial,FALSE,adequate,FALSE
Study015,partial,FALSE,adequate,FALSE
Study016,partial,FALSE,adequate,FALSE
Study017,partial,FALSE,adequate,FALSE
Study018,partial,FALSE,adequate,FALSE
Study019,full,FALSE,strong,FALSE
Study020,partial,FALSE,adequate,FALSE
Study021,partial,FALSE,adequate,FALSE
Study022,partial,FALSE,adequate,FALSE
Study023,partial,FALSE,adequate,FALSE
Study024,partial,FALSE,adequate,FALSE
Study025,partial,FALSE,adequate,FALSE
Study026,partial,FALSE,adequate,FALSE
Study027,partial,FALSE,adequate,FALSE
Study028,partial,FALSE,adequate,FALSE
Study029,partial,FALSE,adequate,FALSE
Study030,partial,FALSE,adequate,FALSE
Study032,partial,FALSE,adequate,FALSE
Study033,partial,FALSE,adequate,FALSE
Study034,partial,FALSE,adequate,FALSE
Study035,partial,FALSE,adequate,FALSE
Study036,partial,FALSE,adequate,FALSE
Study037,partial,FALSE,adequate,FALSE
Study038,partial,FALSE,adequate,FALSE
Study039,partial,FALSE,adequate,FALSE
Study040,partial,FALSE,adequate,FALSE
Study041,partial,FALSE,adequate,FALSE
Study042,partial,FALSE,adequate,FALSE
Study043,partial,FALSE,adequate,FALSE
Study044,partial,FALSE,adequate,FALSE
Study045,partial,FALSE,adequate,FALSE
Study046,partial,FALSE,adequate,FALSE
Study047,partial,FALSE,adequate,FALSE
Study048,full,FALSE,strong,FALSE
Study049,partial,FALSE,adequate,FALSE
Study050,partial,FALSE,adequate,FALSE
Study051,partial,FALSE,adequate,FALSE
Study052,partial,FALSE,adequate,FALSE
Study053,partial,FALSE,adequate,FALSE
Study054,partial,FALSE,adequate,FALSE
Study055,partial,FALSE,adequate,FALSE
Study056,partial,FALSE,adequate,FALSE
Study057,partial,FALSE,adequate,FALSE
Study058,full,FALSE,strong,FALSE
Study059,partial,FALSE,adequate,FALSE
Study060,partial,FALSE,adequate,FALSE
Study061,partial,FALSE,adequate,FALSE
Study062,partial,FALSE,adequate,FALSE
Study063,partial,FALSE,adequate,FALSE
Study065,partial,FALSE,adequate,FALSE
Study066,partial,FALSE,adequate,FALSE
Study067,partial,FALSE,adequate,FALSE
Study068,partial,FALSE,adequate,FALSE
Study070,partial,FALSE,adequate,FALSE
Study071,partial,FALSE,adequate,FALSE
Study072,partial,FALSE,adequate,FALSE
Study073,partial,FALSE,adequate,FALSE
Study074,partial,FALSE,adequate,FALSE
Study075,partial,FALSE,adequate,FALSE
Study076,full,FALSE,strong,FALSE
Study077,partial,FALSE,adequate,FALSE
Study078,partial,FALSE,adequate,FALSE
Study079,partial,FALSE,adequate,FALSE
Study080,partial,FALSE,adequate,FALSE
Study081,partial,FALSE,adequate,FALSE
Study082,partial,FALSE,adequate,FALSE
Study083,partial,FALSE,adequate,FALSE
Study084,partial,FALSE,adequate,FALSE
Study085,partial,FALSE,adequate,FALSE
Study086,partial,FALSE,adequate,FALSE
Study087,partial,FALSE,adequate,FALSE
Study088,partial,FALSE,adequate,FALSE
Study089,partial,FALSE,adequate,FALSE
Study090,partial,FALSE,adequate,FALSE
Study091,partial,FALSE,adequate,FALSE
Study092,partial,FALSE,adequate,FALSE
Study093,partial,FALSE,adequate,FALSE
Study094,full,FALSE,strong,FALSE
Study095,partial,FALSE,adequate,FALSE
Study096,partial,FALSE,adequate,FALSE
Study097,partial,FALSE,adequate,FALSE
Study098,partial,FALSE,adequate,FALSE
Study099,partial,FALSE,adequate,FALSE
Study100,partial,FALSE,adequate,FALSE
Study101,partial,FALSE,adequate,FALSE
Study102,partial,FALSE,adequate,FALSE
Study103,partial,FALSE,adequate,FALSE
Study104,partial,FALSE,adequate,FALSE
Study105,partial,FALSE,adequate,FALSE
Study106,partial,FALSE,adequate,FALSE
Study107,partial,FALSE,adequate,FALSE
Study108,partial,FALSE,adequate,FALSE
Study109,partial,FALSE,adequate,FALSE
Study110,partial,FALSE,adequate,FALSE
Study111,partial,FALSE,adequate,FALSE
Study112,partial,FALSE,adequate,FALSE
Study113,partial,FALSE,adequate,FALSE
Study114,partial,FALSE,adequate,FALSE
Study115,partial,FALSE,adequate,FALSE
Study116,partial,FALSE,adequate,FALSE
Study117,partial,FALSE,adequate,FALSE
Study118,partial,FALSE,adequate,FALSE
Study119,partial,FALSE,adequate,FALSE
Study120,partial,FALSE,adequate,FALSE
Study121,partial,FALSE,adequate,FALSE
Study122,partial,FALSE,adequate,FALSE
Study123,full,FALSE,strong,FALSE
Study124,partial,FALSE,adequate,FALSE
Study125,partial,FALSE,adequate,FALSE
Study126,partial,FALSE,adequate,FALSE
Study127,partial,FALSE,adequate,FALSE
Study128,partial,FALSE,adequate,FALSE
Study129,partial,FALSE,adequate,FALSE
Study131,partial,FALSE,adequate,FALSE
Study132,partial,FALSE,adequate,FALSE
Study133,partial,FALSE,adequate,FALSE
Study134,partial,FALSE,adequate,FALSE
Study135,partial,FALSE,adequate,FALSE
Study136,full,FALSE,strong,FALSE
Study137,partial,FALSE,adequate,FALSE
Study138,partial,FALSE,adequate,FALSE
Study139,partial,FALSE,adequate,FALSE
Study140,NA,FALSE,NA,TRUE
Study141,partial,FALSE,adequate,FALSE
Study142,partial,FALSE,adequate,FALSE
Study143,partial,FALSE,adequate,FALSE
Study144,partial,FALSE,adequate,FALSE
Study145,partial,FALSE,adequate,FALSE
Study146,partial,FALSE,adequate,FALSE
Study148,partial,FALSE,adequate,FALSE
Study149,partial,FALSE,adequate,FALSE
Study150,partial,FALSE,adequate,FALSE
Study151,partial,FALSE,adequate,FALSE
Study152,partial,FALSE,adequate,FALSE
Study153,partial,FALSE,adequate,FALSE
Study154,partial,FALSE,adequate,FALSE
Study155,partial,FALSE,adequate,FALSE
Study156,partial,FALSE,adequate,FALSE
Study157,partial,FALSE,adequate,FALSE
Study158,partial,FALSE,adequate,FALSE
Study159,partial,FALSE,adequate,FALSE
Study160,partial,FALSE,adequate,FALSE
Study161,partial,FALSE,adequate,FALSE
Study162,partial,FALSE,adequate,FALSE
Study164,partial,FALSE,adequate,FALSE
Study165,partial,FALSE,adequate,FALSE
Study166,partial,FALSE,adequate,FALSE
Study168,partial,FALSE,adequate,FALSE
Study169,partial,FALSE,adequate,FALSE
Study170,partial,FALSE,adequate,FALSE
Study171,partial,FALSE,adequate,FALSE
Study172,partial,FALSE,adequate,FALSE
Study173,partial,FALSE,adequate,FALSE
Study174,partial,FALSE,adequate,FALSE
Study176,partial,FALSE,adequate,FALSE
Study177,partial,FALSE,adequate,FALSE
Study178,partial,FALSE,adequate,FALSE
Study179,partial,FALSE,adequate,FALSE
Study180,partial,FALSE,adequate,FALSE
Study181,partial,FALSE,adequate,FALSE
Study182,partial,FALSE,adequate,FALSE
Study183,full,FALSE,strong,FALSE
Study184,partial,FALSE,adequate,FALSE
Study185,partial,FALSE,adequate,FALSE
Study186,partial,FALSE,adequate,FALSE
Study187,partial,FALSE,adequate,FALSE
Study188,partial,FALSE,adequate,FALSE
Study189,partial,FALSE,adequate,FALSE
Study190,partial,FALSE,adequate,FALSE
Study191,partial,FALSE,adequate,FALSE
Study192,partial,FALSE,adequate,FALSE
Study193,partial,FALSE,adequate,FALSE
Study194,partial,FALSE,adequate,FALSE
Study195,partial,FALSE,adequate,FALSE
Study196,partial,FALSE,adequate,FALSE
Study197,partial,FALSE,adequate,FALSE
Study199,partial,FALSE,adequate,FALSE
Study200,partial,FALSE,adequate,FALSE
Study201,partial,FALSE,adequate,FALSE
Study202,partial,FALSE,adequate,FALSE
Study203,partial,FALSE,adequate,FALSE
Study204,partial,FALSE,adequate,FALSE
Study205,partial,FALSE,adequate,FALSE
Study206,full,FALSE,strong,FALSE
Study207,partial,FALSE,adequate,FALSE
Study208,partial,FALSE,adequate,FALSE
Study209,partial,FALSE,adequate,FALSE
Study210,partial,FALSE,adequate,FALSE
Study211,partial,FALSE,adequate,FALSE
Study212,partial,FALSE,adequate,FALSE
Study213,partial,FALSE,adequate,FALSE
Study214,partial,FALSE,adequate,FALSE
Study215,partial,FALSE,adequate,FALSE
Study216,partial,FALSE,adequate,FALSE
Study217,partial,FALSE,adequate,FALSE
Study218,partial,FALSE,adequate,FALSE
Study219,partial,FALSE,adequate,FALSE
Study220,partial,FALSE,adequate,FALSE
Study221,partial,FALSE,adequate,FALSE
Study222,partial,FALSE,adequate,FALSE
Study223,partial,FALSE,adequate,FALSE
Study224,partial,FALSE,adequate,FALSE
Study225,partial,FALSE,adequate,FALSE
Study226,partial,FALSE,adequate,FALSE
Study227,partial,FALSE,adequate,FALSE
Study228,partial,FALSE,adequate,FALSE
Study229,partial,FALSE,adequate,FALSE
Study230,partial,FALSE,adequate,FALSE
Study231,partial,FALSE,adequate,FALSE
Study232,partial,FALSE,adequate,FALSE
Study233,partial,FALSE,adequate,FALSE
Study234,partial,FALSE,adequate,FALSE
Study235,NA,FALSE,NA,TRUE
Study236,partial,FALSE,adequate,FALSE
Study237,partial,FALSE,adequate,FALSE
Study239,partial,FALSE,adequate,FALSE
Study241,partial,FALSE,adequate,FALSE
Study242,partial,FALSE,adequate,FALSE
Study243,NA,FALSE,NA,TRUE
Study244,partial,FALSE,adequate,FALSE
Study245,partial,FALSE,adequate,FALSE
Study246,partial,FALSE,adequate,FALSE
Study247,partial,FALSE,adequate,FALSE
Study248,partial,FALSE,adequate,FALSE
Study249,partial,FALSE,adequate,FALSE
Study250,partial,FALSE,adequate,FALSE
Study251,partial,FALSE,adequate,FALSE
Study252,partial,FALSE,adequate,FALSE
Study253,partial,FALSE,adequate,FALSE
Study254,partial,FALSE,adequate,FALSE
Study256,partial,FALSE,adequate,FALSE
Study257,partial,FALSE,adequate,FALSE
Study258,partial,FALSE,adequate,FALSE
Study259,partial,FALSE,adequate,FALSE
Study260,partial,FALSE,adequate,FALSE
Study261,partial,FALSE,adequate,FALSE
